codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0001C,"Abacate, polpa, in natura",persea americana mill,76 kcal,86.3 g,5.84 g,1.15 g,6.21 g,4.03 g,0.00 g,0.47 g,0.00 mg,1.70 g,3.18 g,1.04 g,0.00 g,7.16 mg,0.17 mg,tr mg,17.0 mg,18.5 mg,174 mg,0.23 mg,0.12 mg,0.20 mcg,6.21 mcg,3.11 mcg,0.00 mcg,0.02 mg,tr mg,0.04 mg,tr mg,tr mg,0.00 mcg,7.32 mg,41.5 mcg,0.00 g,0.00 g,
C0195C,"Abacaxi, cozido, caramelado", ,136 kcal,65.5 g,33.3 g,0.60 g,0.26 g,0.84 g,0.00 g,0.39 g,0.00 mg,0.02 g,0.02 g,0.08 g,0.00 g,24.6 mg,0.90 mg,5.24 mg,19.3 mg,11.1 mg,137 mg,0.16 mg,0.10 mg,0.30 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.04 mg,0.10 mg,0.02 mg,tr mg,tr mg,0.00 mcg,17.4 mg,4.23 mcg,0.00 g,25.0 g,
C0300C,"Abacaxi, grelhado, c/ cobertura de chocolate", ,148 kcal,69.9 g,21.3 g,1.69 g,6.43 g,1.10 g,0.00 g,0.69 g,nan mg,3.58 g,2.06 g,0.26 g,0.05 g,53.4 mg,0.77 mg,15.9 mg,26.8 mg,50.9 mg,161 mg,0.31 mg,0.15 mg,1.23 mcg,1.20 mcg,0.60 mcg,0.00 mcg,0.14 mg,0.12 mg,0.06 mg,0.13 mg,0.12 mg,0.15 mcg,18.5 mg,6.72 mcg,nan g,0.00 g,
C0054C,"Abacaxi, polpa, congelada",ananas comosus l.,33 kcal,91.3 g,7.80 g,0.47 g,0.11 g,0.33 g,0.00 g,0.33 g,0.00 mg,0.01 g,0.01 g,0.04 g,0.00 g,13.5 mg,0.36 mg,1.24 mg,10.1 mg,7.63 mg,106 mg,0.06 mg,0.04 mg,0.06 mcg,2.26 mcg,1.13 mcg,0.00 mcg,0.02 mg,0.05 mg,tr mg,tr mg,tr mg,0.00 mcg,1.25 mg,11.2 mcg,0.00 g,0.00 g,
C0264C,"Abacaxi, polpa, desidratada",ananas comosus ,279 kcal,27.5 g,64.9 g,3.80 g,1.86 g,6.24 g,0.00 g,1.99 g,0.00 mg,0.13 g,0.18 g,0.57 g,0.00 g,102 mg,2.64 mg,15.9 mg,92.8 mg,58.7 mg,767 mg,0.86 mg,0.69 mg,2.26 mcg,11.2 mcg,5.58 mcg,0.00 mcg,0.26 mg,0.92 mg,0.11 mg,tr mg,tr mg,0.00 mcg,184 mg,63.1 mcg,0.00 g,0.00 g,
C0218C,"Abacaxi, polpa, grelhado, c/ canela", ,51 kcal,86.6 g,12.0 g,0.70 g,0.34 g,1.38 g,0.00 g,0.37 g,0.00 mg,0.02 g,0.03 g,0.10 g,0.00 g,22.4 mg,0.51 mg,2.88 mg,16.8 mg,10.8 mg,125 mg,0.16 mg,0.11 mg,0.42 mcg,1.69 mcg,0.92 mcg,0.00 mcg,0.06 mg,0.13 mg,0.02 mg,0.01 mg,0.00 mg,0.00 mcg,33.0 mg,6.77 mcg,0.00 g,0.00 g,
C0002C,"Abacaxi, polpa, in natura",ananas comosus l.,50 kcal,87.0 g,11.6 g,0.68 g,0.33 g,1.12 g,0.00 g,0.36 g,0.00 mg,0.02 g,0.03 g,0.10 g,0.00 g,18.4 mg,0.47 mg,2.84 mg,16.6 mg,10.5 mg,137 mg,0.15 mg,0.12 mg,0.41 mcg,2.00 mcg,1.00 mcg,0.00 mcg,0.05 mg,0.17 mg,0.02 mg,tr mg,tr mg,0.00 mcg,33.1 mg,11.3 mcg,0.00 g,0.00 g,
C0069C,"Abiu, in natura",lucuma caimito (ruiz & pav.) roem & schult,66 kcal,83.1 g,14.9 g,0.83 g,0.70 g,1.70 g,0.00 g,0.39 g,0.00 mg,0.30 g,0.10 g,0.10 g,0.00 g,5.78 mg,0.16 mg,tr mg,9.30 mg,20.3 mg,128 mg,0.10 mg,0.09 mg,nan mcg,nan mcg,nan mcg,0.00 mcg,nan mg,tr mg,0.04 mg,tr mg,0.05 mg,0.00 mcg,10.3 mg,nan mcg,0.00 g,0.00 g,
C0680B,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal", ,48 kcal,87.6 g,8.22 g,1.51 g,1.61 g,2.79 g,0.00 g,1.08 g,0.00 mg,0.25 g,0.38 g,0.83 g,0.01 g,45.9 mg,0.37 mg,188 mg,15.8 mg,37.2 mg,170 mg,0.34 mg,0.10 mg,0.68 mcg,313 mcg,156 mcg,0.00 mcg,4.08 mg,0.06 mg,0.00 mg,0.02 mg,0.06 mg,0.00 mcg,5.97 mg,27.5 mcg,0.47 g,0.00 g,
C0059B,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal",cucurbita maxima x,50 kcal,86.4 g,10.8 g,1.44 g,0.73 g,2.46 g,0.00 g,0.71 g,0.00 mg,0.10 g,0.20 g,0.20 g,0.00 g,7.63 mg,0.35 mg,1.45 mg,9.11 mg,32.6 mg,199 mg,0.29 mg,0.06 mg,1.17 mcg,617 mcg,308 mcg,0.00 mcg,8.34 mg,0.08 mg,tr mg,tr mg,0.07 mg,0.00 mcg,7.46 mg,8.94 mcg,0.00 g,0.00 g,
