Code,NarrowSynonym,Cod
http://purl.obolibrary.org/obo/FOODON_00001009,frankfurter,00001009
http://purl.obolibrary.org/obo/FOODON_00001197,Bambara nut,00001197
http://purl.obolibrary.org/obo/FOODON_00001197,Bambara-bean,00001197
http://purl.obolibrary.org/obo/FOODON_00001197,Congo goober,00001197
http://purl.obolibrary.org/obo/FOODON_00001197,earth pea,00001197
http://purl.obolibrary.org/obo/FOODON_00001197,ground-bean,00001197
http://purl.obolibrary.org/obo/FOODON_00001197,hog-peanut,00001197
http://purl.obolibrary.org/obo/FOODON_00001199,Bengal gram,00001199
http://purl.obolibrary.org/obo/FOODON_00001199,Egyptian pea,00001199
http://purl.obolibrary.org/obo/FOODON_00001199,gram,00001199
http://purl.obolibrary.org/obo/FOODON_00001201,"kidney, haricot bean (Ph. vulgaris); 
lima, butter bean (Ph. lunatus); 
adzuki bean (Ph. angularis); 
mungo bean, golden, green gram (Ph. aureus); 
black gram, urd (Ph. mungo); 
scarlet runner bean (Ph. coccineus); 
rice bean (Ph. calcaratus); 
moth bean (Ph. aconitifolius); 
tepary bean (Ph. acutifolius)",00001201
http://purl.obolibrary.org/obo/FOODON_00001287,wild mushroom,00001287
http://purl.obolibrary.org/obo/FOODON_00001845,dry corn,00001845
http://purl.obolibrary.org/obo/FOODON_00001850,"United States southern varieties: Big Red Ripper, Zipper, Rucker, Stick Up, Old Timer, Turkey Craw, Whippoorwill, Purple Hull, Pinkeye, Crowder, Wash Day, Rattlesnake, Iron Clay, Bird, Cow, Colossus, Hercules, Mississippi Silver, Shanty, Polecat",00001850
http://purl.obolibrary.org/obo/FOODON_00002018,clementine,00002018
http://purl.obolibrary.org/obo/FOODON_00002018,satsuma,00002018
http://purl.obolibrary.org/obo/FOODON_00002118,pimiento pepper,00002118
http://purl.obolibrary.org/obo/FOODON_00002194,northern red snapper,00002194
http://purl.obolibrary.org/obo/FOODON_00002194,southern red snapper,00002194
http://purl.obolibrary.org/obo/FOODON_00002276,stew,00002276
http://purl.obolibrary.org/obo/FOODON_00002280,pine nut,00002280
http://purl.obolibrary.org/obo/FOODON_00003116,pine nut,00003116
http://purl.obolibrary.org/obo/FOODON_00002323,Curcuma,00002323
http://purl.obolibrary.org/obo/FOODON_00002340,water,00002340
http://purl.obolibrary.org/obo/FOODON_00002387,sweet bean paste,00002387
http://purl.obolibrary.org/obo/FOODON_00002393,chinese wine mash,00002393
http://purl.obolibrary.org/obo/FOODON_00002397,Maguro Nakaochi,00002397
http://purl.obolibrary.org/obo/FOODON_00002397,Nakaochi Scrape,00002397
http://purl.obolibrary.org/obo/FOODON_00002489,Anseriformes,00002489
http://purl.obolibrary.org/obo/FOODON_00002489,Galliformes,00002489
http://purl.obolibrary.org/obo/FOODON_00002489,gamefowl,00002489
http://purl.obolibrary.org/obo/FOODON_00002489,landfowl,00002489
http://purl.obolibrary.org/obo/FOODON_00002489,waterfowl,00002489
http://purl.obolibrary.org/obo/FOODON_00002520,Cheerios,00002520
http://purl.obolibrary.org/obo/FOODON_00002529,masa de harina,00002529
http://purl.obolibrary.org/obo/FOODON_00002529,masa harina,00002529
http://purl.obolibrary.org/obo/FOODON_00002534,ossobuco in bianco,00002534
http://purl.obolibrary.org/obo/FOODON_00002534,òss bus,00002534
http://purl.obolibrary.org/obo/FOODON_00002538,cheese quesadilla,00002538
http://purl.obolibrary.org/obo/FOODON_00002542,El Queso Cotija de Montaña,00002542
http://purl.obolibrary.org/obo/FOODON_00002542,Tajo cheese,00002542
http://purl.obolibrary.org/obo/FOODON_00002555,Akage Washu,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Akaushi,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Japanese Black,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Japanese Brown,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Japanese Polled,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Japanese Shorthorn,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Kuroge Washu,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Mukaku Washu,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,Nihon Tankaku Washu,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,日本短角和種,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,無角和種,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,赤毛和種,00002555
http://purl.obolibrary.org/obo/FOODON_00002555,黒毛和種,00002555
http://purl.obolibrary.org/obo/FOODON_00002677,propadus,00002677
http://purl.obolibrary.org/obo/FOODON_00002712,dog chew,00002712
http://purl.obolibrary.org/obo/FOODON_00002723,American mink,00002723
http://purl.obolibrary.org/obo/FOODON_00002723,European mink,00002723
http://purl.obolibrary.org/obo/FOODON_00002782,edamame,00002782
http://purl.obolibrary.org/obo/FOODON_00002836,lamb neck chop,00002836
http://purl.obolibrary.org/obo/FOODON_00002841,Navajo Juniper Ash,00002841
http://purl.obolibrary.org/obo/FOODON_00002842,Bartlett pear plant,00002842
http://purl.obolibrary.org/obo/FOODON_00002842,Williams pear plant,00002842
http://purl.obolibrary.org/obo/FOODON_00002851,fully hydrogenated fat,00002851
http://purl.obolibrary.org/obo/FOODON_00002851,fully hydrogenated oil,00002851
http://purl.obolibrary.org/obo/FOODON_00002857,hydrogenated fat,00002857
http://purl.obolibrary.org/obo/FOODON_00002859,partly hydrogenated fat,00002859
http://purl.obolibrary.org/obo/FOODON_00002883,tepa,00002883
http://purl.obolibrary.org/obo/FOODON_00002883,tipnuk,00002883
http://purl.obolibrary.org/obo/FOODON_00002890,bittern,00002890
http://purl.obolibrary.org/obo/FOODON_00002890,egret,00002890
http://purl.obolibrary.org/obo/FOODON_00002933,cobnut,00002933
http://purl.obolibrary.org/obo/FOODON_00002998,Coccinia grandis,00002998
http://purl.obolibrary.org/obo/FOODON_00002998,kowai fruit,00002998
http://purl.obolibrary.org/obo/FOODON_00002998,scarlet gourd,00002998
http://purl.obolibrary.org/obo/FOODON_00002998,tindora,00002998
http://purl.obolibrary.org/obo/FOODON_00003013,pepper,00003013
http://purl.obolibrary.org/obo/FOODON_00003030,angelica,00003030
http://purl.obolibrary.org/obo/FOODON_00003038,borage,00003038
http://purl.obolibrary.org/obo/FOODON_00003135,black mulberry,00003135
http://purl.obolibrary.org/obo/FOODON_00003172,Allium fistulosum L.,00003172
http://purl.obolibrary.org/obo/FOODON_00003187,nutella,00003187
http://purl.obolibrary.org/obo/FOODON_00003250,paella valenciana,00003250
http://purl.obolibrary.org/obo/FOODON_00003304,filet mignon,00003304
http://purl.obolibrary.org/obo/FOODON_00003341,bok choy vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,bomdong vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,broccolini vegetable food product,00003341
http://purl.obolibrary.org/obo/FOODON_00003341,chinese cabbage vegetable food product,00003341
