url,codigo,nome,nome_ingles,nome_cientifico,grupo,marca,Energia (kJ),Energia (kcal),Umidade (g),Carboidrato total (g),Carboidrato disponível (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),Colesterol (g),Gordura de adição (g),Proteína animal (g),Proteína vegetal (g)
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0001C,C0001C,"Abacate, polpa, in natura","Avocado, pulp, raw",Persea americana Mill,Frutas e derivados,,312,76,"86,3","5,84","1,81","1,15","6,21","4,03","0,00","0,47","0,00","1,70","3,18","1,04","0,00","7,16","0,17",tr,"17,0","18,5",174,"0,23","0,12","0,20","6,21","3,11","0,00","0,02",tr,"0,04",tr,tr,"0,00","7,32","41,5","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0195C,C0195C,"Abacaxi, cozido, caramelado","Pineapple, cooked, caramelized", ,Frutas e derivados,,578,136,"65,5","33,3","32,5","0,60","0,26","0,84","0,00","0,39","0,00","0,02","0,02","0,08","0,00","24,6","0,90","5,24","19,3","11,1",137,"0,16","0,10","0,30","0,00","0,00","0,00","0,04","0,10","0,02",tr,tr,"0,00","17,4","4,23","0,00","25,0",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0300C,C0300C,"Abacaxi, grelhado, c/ cobertura de chocolate","Pineapple, grilled, with chocolate coating", ,Frutas e derivados,,619,148,"69,9","21,3","20,2","1,69","6,43","1,10","0,00","0,69",,"3,58","2,06","0,26","0,05","53,4","0,77","15,9","26,8","50,9",161,"0,31","0,15","1,23","1,20","0,60","0,00","0,14","0,12","0,06","0,13","0,12","0,15","18,5","6,72",NA,"0,00","3,36",,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0054C,C0054C,"Abacaxi, polpa, congelada","Pineapple, pulp, frozen",Ananas comosus L.,Frutas e derivados,,142,33,"91,3","7,80","7,47","0,47","0,11","0,33","0,00","0,33","0,00","0,01","0,01","0,04","0,00","13,5","0,36","1,24","10,1","7,63",106,"0,06","0,04","0,06","2,26","1,13","0,00","0,02","0,05",tr,tr,tr,"0,00","1,25","11,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0264C,C0264C,"Abacaxi, polpa, desidratada","Pineapple, pulp, dehydrated",Ananas comosus ,Frutas e derivados,,1115,279,"27,5","64,9","58,6","3,80","1,86","6,24","0,00","1,99","0,00","0,13","0,18","0,57","0,00",102,"2,64","15,9","92,8","58,7",767,"0,86","0,69","2,26","11,2","5,58","0,00","0,26","0,92","0,11",tr,tr,"0,00",184,"63,1","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0218C,C0218C,"Abacaxi, polpa, grelhado, c/ canela","Pineapple, pulp, grilled, with cinnamon", ,Frutas e derivados,,215,51,"86,6","12,0","10,6","0,70","0,34","1,38","0,00","0,37","0,00","0,02","0,03","0,10","0,00","22,4","0,51","2,88","16,8","10,8",125,"0,16","0,11","0,42","1,69","0,92","0,00","0,06","0,13","0,02","0,01","0,00","0,00","33,0","6,77","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0002C,C0002C,"Abacaxi, polpa, in natura","Pineapple, pulp, raw",Ananas comosus L.,Frutas e derivados,,211,50,"87,0","11,6","10,5","0,68","0,33","1,12","0,00","0,36","0,00","0,02","0,03","0,10","0,00","18,4","0,47","2,84","16,6","10,5",137,"0,15","0,12","0,41","2,00","1,00","0,00","0,05","0,17","0,02",tr,tr,"0,00","33,1","11,3","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0069C,C0069C,"Abiu, in natura","Brazilian fruit,´Abiu´, raw",Lucuma caimito (Ruiz & Pav.) Roem & Schult,Frutas e derivados,,279,66,"83,1","14,9","13,2","0,83","0,70","1,70","0,00","0,39","0,00","0,30","0,10","0,10","0,00","5,78","0,16",tr,"9,30","20,3",128,"0,10","0,09",NA,NA,NA,"0,00",NA,tr,"0,04",tr,"0,05","0,00","10,3",NA,"0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0680B,C0680B,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal","Pumpkin, squash, cabotian, with okra, braised (with oil, onion and garlic, with salt", ,Vegetais e derivados,,200,48,"87,6","8,22","5,43","1,51","1,61","2,79","0,00","1,08","0,00","0,25","0,38","0,83","0,01","45,9","0,37",188,"15,8","37,2",170,"0,34","0,10","0,68",313,156,"0,00","4,08","0,06","0,00","0,02","0,06","0,00","5,97","27,5","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0059B,C0059B,"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal","Pumpkin, Squash, cabotian (japonesa), peeled, boiled, drained, without oil, unsalted",Cucurbita maxima x,Vegetais e derivados,,212,50,"86,4","10,8","8,30","1,44","0,73","2,46","0,00","0,71","0,00","0,10","0,20","0,20","0,00","7,63","0,35","1,45","9,11","32,6",199,"0,29","0,06","1,17",617,308,"0,00","8,34","0,08",tr,tr,"0,07","0,00","7,46","8,94","0,00","0,00",,,,
